"Cluster","Weekly_GenAI_Hours","Traditional_Study_Hours","AI_Time_Ratio","Perceived_AI_Dependency","Tool_Diversity","Skill_Retention_Score","Anxiety_Level_During_Exams","Pre_Semester_GPA","GPA_Change","Post_Semester_GPA"
1,4.329,12.508,0.246,2.76,2.807,77.004,3.796,3.147,0.219,3.365
2,17.191,8.432,0.666,5.1,2.786,73.22,5.287,3.144,0.17,3.315
